iter	Passed	Remaining
401	16150	24025
402	16192	23987
403	16235	23950
404	16275	23911
405	16318	23875
406	16358	23834
407	16397	23792
408	16437	23751
409	16477	23711
410	16517	23671
411	16557	23630
412	16596	23589
413	16633	23544
414	16673	23503
415	16711	23460
416	16746	23412
417	16781	23365
418	16817	23319
419	16853	23273
420	16887	23225
421	16921	23177
422	16956	23129
423	16990	23081
424	17025	23033
425	17061	22988
426	17096	22942
427	17132	22896
428	17169	22852
429	17206	22808
430	17242	22762
431	17278	22717
432	17316	22675
433	17353	22631
434	17389	22586
435	17432	22550
436	17483	22525
437	17532	22496
438	17573	22457
439	17613	22417
440	17656	22381
441	17700	22346
442	17745	22312
443	17787	22274
444	17829	22236
445	17876	22205
446	17923	22174
447	17967	22138
448	18010	22102
449	18058	22071
450	18103	22036
451	18146	22000
452	18192	21967
453	18236	21931
454	18285	21902
455	18329	21866
456	18372	21830
457	18415	21792
458	18459	21756
459	18510	21729
460	18565	21706
461	18617	21680
462	18671	21656
463	18724	21629
464	18774	21600
465	18822	21569
466	18872	21539
467	18919	21506
468	18965	21473
469	19013	21441
470	19061	21408
471	19108	21375
472	19153	21340
473	19203	21310
474	19250	21276
475	19296	21242
476	19340	21206
477	19385	21169
478	19428	21131
479	19471	21093
480	19513	21055
481	19560	21021
482	19603	20983
483	19646	20945
484	19689	20907
485	19731	20868
486	19776	20832
487	19817	20792
488	19858	20752
489	19899	20711
490	19942	20673
491	19983	20633
492	20025	20593
493	20066	20553
494	20107	20514
495	20149	20474
496	20192	20436
497	20237	20399
498	20279	20360
499	20320	20320
500	20361	20280
501	20403	20240
502	20443	20199
503	20483	20158
504	20523	20116
505	20560	20073
506	20597	20029
507	20635	19986
508	20671	19940
509	20707	19894
510	20743	19850
511	20809	19834
512	20850	19793
513	20888	19750
514	20925	19706
515	20962	19662
516	21002	19621
517	21043	19580
518	21084	19540
519	21123	19498
520	21161	19455
521	21201	19414
522	21241	19373
523	21280	19331
524	21329	19298
525	21371	19258
526	21426	19230
527	21468	19191
528	21508	19150
529	21552	19112
530	21593	19072
531	21633	19030
532	21673	18989
533	21714	18949
534	21754	18908
535	21796	18868
536	21838	18828
537	21878	18788
538	21918	18746
539	21958	18705
540	22000	18666
541	22042	18626
542	22082	18585
543	22122	18543
544	22162	18502
545	22200	18460
546	22242	18420
547	22276	18374
548	22317	18333
549	22357	18292
550	22397	18251
551	22439	18211
552	22480	18171
553	22522	18131
554	22574	18100
555	22625	18068
556	22676	18035
557	22726	18001
558	22773	17966
559	22822	17932
560	22870	17897
561	22920	17863
562	22968	17827
563	23014	17791
564	23060	17754
565	23106	17717
566	23151	17680
567	23198	17643
568	23251	17612
569	23296	17574
570	23341	17536
571	23384	17497
572	23427	17458
573	23471	17419
574	23515	17380
575	23558	17341
576	23601	17302
577	23643	17262
578	23685	17221
579	23728	17182
580	23770	17142
581	23815	17104
582	23858	17065
583	23901	17025
584	23942	16985
585	23984	16944
586	24034	16909
587	24082	16873
588	24128	16836
589	24170	16796
590	24211	16755
591	24254	16715
592	24295	16675
593	24336	16634
594	24379	16594
595	24420	16553
596	24463	16514
597	24504	16473
598	24548	16434
599	24588	16392
600	24626	16349
601	24665	16306
602	24703	16263
603	24739	16220
604	24775	16175
605	24810	16130
606	24845	16086
607	24879	16041
608	24916	15997
609	24950	15951
610	24986	15908
611	25023	15864
612	25058	15820
613	25094	15776
614	25131	15732
615	25167	15688
616	25203	15645
617	25241	15602
618	25280	15560
619	25318	15517
620	25357	15475
621	25395	15433
622	25432	15390
623	25471	15348
624	25508	15304
625	25545	15261
626	25581	15218
627	25621	15176
628	25660	15135
629	25699	15093
630	25739	15052
631	25778	15009
632	25817	14968
633	25856	14926
634	25896	14885
635	25935	14843
636	25974	14801
637	26012	14759
638	26051	14717
639	26090	14675
640	26128	14633
641	26166	14591
642	26205	14549
643	26244	14508
644	26284	14466
645	26324	14425
646	26364	14384
647	26402	14342
648	26441	14300
649	26479	14258
650	26524	14219
651	26574	14183
652	26623	14147
653	26671	14110
654	26719	14073
655	26767	14036
656	26814	13999
657	26860	13960
658	26906	13922
659	26952	13884
660	26997	13846
661	27042	13807
662	27085	13767
663	27129	13728
664	27172	13688
665	27215	13648
666	27258	13608
667	27301	13569
668	27343	13528
669	27385	13488
670	27426	13447
671	27468	13407
672	27510	13366
673	27553	13327
674	27594	13286
675	27636	13245
676	27675	13204
677	27715	13162
678	27756	13121
679	27796	13080
680	27837	13040
681	27877	12998
682	27916	12957
683	27960	12917
684	28001	12876
685	28041	12835
686	28081	12794
687	28121	12752
688	28161	12711
689	28202	12670
690	28241	12629
691	28281	12587
692	28321	12546
693	28361	12505
694	28400	12463
695	28439	12421
696	28477	12379
697	28517	12338
698	28555	12296
699	28591	12253
700	28630	12211
701	28664	12167
702	28700	12125
703	28734	12081
704	28768	12037
705	28801	11993
706	28835	11950
707	28869	11906
708	28905	11863
709	28938	11819
710	28976	11778
711	29012	11735
712	29046	11692
713	29081	11648
714	29117	11606
715	29153	11563
716	29189	11520
717	29225	11478
718	29263	11436
719	29299	11394
720	29335	11351
721	29373	11310
722	29411	11268
723	29447	11225
724	29485	11184
725	29522	11142
726	29560	11100
727	29598	11058
728	29636	11017
729	29673	10975
730	29711	10933
731	29749	10892
732	29787	10850
733	29824	10808
734	29862	10766
735	29900	10725
736	29938	10683
737	29978	10642
738	30020	10602
739	30058	10561
740	30096	10519
741	30136	10478
742	30176	10437
743	30215	10396
744	30267	10359
745	30311	10320
746	30357	10281
747	30398	10241
748	30439	10200
749	30482	10160
750	30543	10126
751	30605	10093
752	30657	10056
753	30710	10019
754	30758	9981
755	30807	9943
756	30858	9905
757	30905	9866
758	30954	9828
759	31002	9790
760	31050	9751
761	31095	9712
762	31140	9672
763	31187	9633
764	31232	9594
765	31275	9554
766	31320	9514
767	31366	9475
768	31409	9435
769	31452	9394
770	31495	9354
771	31538	9314
772	31582	9274
773	31626	9234
774	31668	9194
775	31709	9153
776	31752	9113
777	31795	9072
778	31836	9031
779	31878	8991
780	31919	8950
781	31961	8909
782	32003	8869
783	32045	8828
784	32086	8788
785	32128	8747
786	32171	8707
787	32212	8666
788	32253	8625
789	32292	8584
790	32332	8543
791	32372	8501
792	32412	8460
793	32451	8419
794	32491	8378
795	32528	8336
796	32567	8295
797	32605	8253
798	32639	8210
799	32675	8168
800	32710	8126
801	32745	8084
802	32779	8041
803	32813	7999
804	32849	7957
805	32882	7914
806	32916	7872
807	32952	7830
808	32989	7788
809	33025	7746
810	33060	7704
811	33095	7662
812	33131	7620
813	33167	7578
814	33206	7537
815	33242	7495
816	33283	7455
817	33320	7413
818	33357	7372
819	33396	7330
820	33433	7289
821	33469	7247
822	33508	7206
823	33546	7165
824	33586	7124
825	33625	7083
826	33663	7042
827	33702	7000
828	33740	6959
829	33780	6918
830	33818	6877
831	33857	6836
832	33900	6796
833	33937	6755
834	33976	6713
835	34015	6672
836	34054	6631
837	34093	6590
838	34134	6550
839	34173	6509
840	34214	6468
841	34255	6428
842	34294	6386
843	34335	6346
844	34374	6305
845	34413	6264
846	34452	6223
847	34495	6183
848	34546	6144
849	34599	6105
850	34648	6066
851	34696	6027
852	34749	5988
853	34796	5948
854	34844	5909
855	34890	5869
856	34934	5829
857	34982	5789
858	35028	5749
859	35072	5709
860	35117	5669
861	35160	5628
862	35207	5589
863	35250	5548
864	35294	5508
865	35338	5468
866	35381	5427
867	35424	5387
868	35465	5346
869	35507	5305
870	35549	5265
871	35592	5224
872	35635	5184
873	35680	5143
874	35721	5103
875	35763	5062
876	35804	5021
877	35845	4980
878	35885	4939
879	35926	4899
880	35967	4858
881	36008	4817
882	36052	4777
883	36091	4735
884	36131	4695
885	36171	4654
886	36210	4613
887	36251	4572
888	36291	4531
889	36336	4491
890	36377	4450
891	36418	4409
892	36458	4368
893	36498	4327
894	36538	4286
895	36576	4245
896	36613	4204
897	36650	4163
898	36688	4121
899	36721	4080
900	36756	4038
901	36791	3997
902	36825	3955
903	36858	3914
904	36892	3872
905	36926	3831
906	36960	3789
907	36993	3748
908	37027	3706
909	37062	3665
910	37097	3624
911	37133	3583
912	37168	3541
913	37205	3500
914	37242	3459
915	37278	3418
916	37315	3377
917	37352	3336
918	37390	3295
919	37427	3254
920	37465	3213
921	37504	3172
922	37544	3132
923	37583	3091
924	37622	3050
925	37661	3009
926	37699	2968
927	37743	2928
928	37782	2887
929	37821	2846
930	37859	2805
931	37897	2765
932	37936	2724
933	37980	2683
934	38018	2642
935	38059	2602
936	38099	2561
937	38137	2520
938	38176	2480
939	38215	2439
940	38254	2398
941	38294	2357
942	38334	2317
943	38375	2276
944	38415	2235
945	38456	2195
946	38504	2154
947	38554	2114
948	38604	2074
949	38654	2034
950	38704	1994
951	38750	1953
952	38798	1913
953	38845	1873
954	38894	1832
955	38941	1792
956	38986	1751
957	39032	1711
958	39078	1670
959	39123	1630
960	39167	1589
961	39212	1548
962	39256	1508
963	39299	1467
964	39345	1427
965	39388	1386
966	39430	1345
967	39473	1304
968	39514	1264
969	39555	1223
970	39597	1182
971	39639	1141
972	39679	1101
973	39720	1060
974	39763	1019
975	39805	978
976	39846	938
977	39886	897
978	39927	856
979	39967	815
980	40007	774
981	40046	734
982	40086	693
983	40126	652
984	40168	611
985	40208	570
986	40249	530
987	40290	489
988	40331	448
989	40371	407
990	40413	367
991	40457	326
992	40499	285
993	40537	244
994	40578	203
995	40617	163
996	40656	122
997	40693	81
998	40729	40
999	40767	0
